-0.001,-0.004,0.001,0.000,-0.003,0.000,-0.004,-0.001,0.002,0.002,0.008,-0.002,0.000,0.000,-0.001,0.000,-0.001,-0.001,-0.001,0.000,-0.001,-0.001,0.006,0.001,-0.001,0.001
0.008,0.002,-0.009,-0.002,-0.003,-0.002,-0.011,0.001,0.018,0.010,0.001,-0.004,-0.007,-0.002,-0.006,-0.003,-0.004,0.004,-0.008,0.001,0.001,-0.003,0.011,-0.009,-0.003,-0.005
0.059,0.089,0.073,0.022,0.065,0.027,0.072,0.076,0.108,0.114,0.133,0.055,0.070,0.025,0.038,0.020,0.097,0.059,0.122,0.086,0.046,0.057,0.105,0.061,0.051,0.054
2.126,2.430,2.336,2.374,2.091,1.822,2.387,2.269,2.363,2.261,2.687,2.504,1.662,2.089,2.407,2.218,2.240,2.377,2.630,2.195,2.187,2.261,1.739,2.418,2.383,2.431
2.120,2.438,2.344,2.374,2.102,1.819,2.397,2.278,2.369,2.260,2.690,2.500,1.672,2.091,2.405,2.216,2.239,2.370,2.634,2.202,2.182,2.268,1.750,2.419,2.379,2.426
0.044,0.077,0.069,0.034,0.046,0.028,0.089,0.050,0.062,0.056,0.078,0.046,0.045,0.028,0.051,0.025,0.047,0.044,0.115,0.078,0.031,0.055,0.120,0.070,0.041,0.052
9.455,9.000,6.273,7.545,7.000,5.800,4.636,8.091,7.091,8.100,5.182,7.273,8.818,5.909,5.455,9.455,7.364,6.182,4.909,7.455,5.545,8.273,8.818,4.909,4.273,7.818
-0.107,-0.821,0.234,-0.014,-0.590,-0.021,-0.675,-0.099,0.491,0.551,1.618,-0.373,0.031,-0.052,-0.249,-0.043,-0.152,-0.091,-0.246,0.080,-0.040,-0.203,1.063,0.118,-0.114,0.323
0.216,0.345,0.326,0.075,0.260,0.109,0.216,0.356,0.340,0.517,0.702,0.207,0.295,0.147,0.153,0.086,0.475,0.242,0.423,0.403,0.228,0.297,0.276,0.218,0.231,0.199
0.526,0.775,0.552,0.133,0.424,0.209,0.403,0.668,0.953,1.152,1.481,0.607,0.731,0.244,0.337,0.166,0.736,0.548,0.768,0.837,0.414,0.568,0.966,0.347,0.323,0.398
0.003,0.004,0.003,0.001,0.002,0.001,0.002,0.004,0.005,0.006,0.008,0.003,0.004,0.001,0.002,0.001,0.004,0.003,0.004,0.004,0.002,0.003,0.005,0.002,0.002,0.002
6.693,1.849,4.055,1.504,2.717,2.138,0.834,1.800,2.156,2.804,4.033,7.202,4.087,7.856,1.695,0.720,1.265,2.513,1.250,6.000,3.904,4.990,0.621,3.516,1.425,1.825
-0.306,0.072,0.202,0.400,0.260,0.339,0.642,-0.330,0.075,-0.109,-0.015,-0.204,0.747,0.483,0.805,0.330,0.391,0.437,0.503,-0.290,-0.065,-0.277,0.270,0.623,0.251,0.057
0.083,0.164,0.210,0.054,0.152,0.064,0.174,0.122,0.155,0.153,0.366,0.110,0.206,0.063,0.105,0.051,0.234,0.130,0.251,0.182,0.084,0.157,0.288,0.158,0.136,0.127
-0.041,-0.108,0.219,0.030,-0.006,0.024,0.126,-0.140,-0.174,-0.208,-0.074,-0.009,0.165,0.033,0.066,0.030,0.162,0.054,0.127,-0.099,-0.100,0.078,0.098,0.127,0.065,-0.062
3.719,3.830,2.576,0.719,1.923,1.139,1.551,3.532,6.229,7.184,6.769,5.282,4.879,1.068,1.710,1.170,3.626,3.219,3.094,4.488,2.268,3.053,6.729,1.221,1.197,2.407
